"Source","Target","Weight"
"estelionatario","frases",5
"estelionatario","mckelvinho",5
"frases","musica",5
"luxo","motivational",5
"mckelvinho","ninoabravanel",5
"mckelvinho","viral",5
"milionario","rico",5
"milionario","viral",5
"raul","trending",5
"171","brasil",4
"171","cartaoclonado",4
"171","happynation",4
"171","laranja",4
"171","ninoabravanel",4
"7","ninoabravanel",4
"777","explore",4
"777","frases",4
"bigode","fyp",4
"bilionario","dinheiro",4
"brasil","happynation",4
"cartaoclonado","estelionatario",4
"crime","fyp",4
"dinheiro","frases",4
"dinheiro","motivational",4
"dinheiroonline","estelionato",4
"estelionato","rico",4
"funk","mckelvinho",4
"funk","ninoabravanel",4
"fyp","ruyter",4
"happynation","tiktok",4
"humor","meme",4
"midia","viral",4
"ninoabravanel","raul",4
"status","viral",4
"sucesso","viral",4
"tiktok","tropado7",4
"171","bigode",3
"171","crime",3
"171","funk",3
"171","humor",3
"171","luxo",3
"7","explore",3
"7","mulherdepreso",3
"777","funk",3
"777","happynation",3
"777","motivational",3
"777","rico",3
"777","tiktok",3
"bigode","dinheiro",3
"bilionario","sucesso",3
"brasil","raul",3
"cartaoclonado","estelionato",3
"casa","fyp",3
"cc","golpe",3
"cc","luxo",3
"cc","tiktok",3
"crime","dinheiro",3
"dinheiro","estilo",3
"dinheiro","explore",3
"dinheiro","musica",3
"dinheiro","sucesso",3
"dinheiro","tiktok",3
"dinheiro","trending",3
"dinheiroonline","fyp",3
"estelionato","funk",3
"estelionato","milionario",3
"estelionato","motivational",3
"estelionato","sucesso",3
"estilo","luxo",3
"explore","meme",3
"explore","musica",3
"explore","ninoabravanel",3
"funk","trending",3
"fyp","sucesso",3
"golpe","happynation",3
"golpe","meme",3
"golpe","tropado7",3
"happynation","humor",3
"laranja","raul",3
"meme","musica",3
"mulherdepreso","raul",3
"musica","ninoabravanel",3
"rico","ruyter",3
"tiktok","trending",3
"171","dinheiroonline",2
"171","mckelvinho",2
"171","milionario",2
"171","ruyter",2
"171","status",2
"7","bigode",2
"7","happynation",2
"7","luxo",2
"7","midia",2
"7","musica",2
"7","tiktok",2
"777","bigode",2
"777","cc",2
"777","golpe",2
"777","mulherdepreso",2
"777","ninoabravanel",2
